title,Ethnicity,Gender,Religious_Affiliation,Political_Party,docid,VectorRanker_person,VectorRanker_person_value,VectorRanker_MMR_03_person,VectorRanker_MMR_03_person_value,VectorRanker_MMR_05_person,VectorRanker_MMR_05_person_value,VectorRanker_MMR_07_person,VectorRanker_MMR_07_person_value,VectorRanker_woman,VectorRanker_woman_value,VectorRanker_MMR_03_woman,VectorRanker_MMR_03_woman_value,VectorRanker_MMR_05_woman,VectorRanker_MMR_05_woman_value,VectorRanker_MMR_07_woman,VectorRanker_MMR_07_woman_value,VectorRanker_teacher,VectorRanker_teacher_value,VectorRanker_MMR_03_teacher,VectorRanker_MMR_03_teacher_value,VectorRanker_MMR_05_teacher,VectorRanker_MMR_05_teacher_value,VectorRanker_MMR_07_teacher,VectorRanker_MMR_07_teacher_value,VectorRanker_role model,VectorRanker_role model_value,VectorRanker_MMR_03_role model,VectorRanker_MMR_03_role model_value,VectorRanker_MMR_05_role model,VectorRanker_MMR_05_role model_value,VectorRanker_MMR_07_role model,VectorRanker_MMR_07_role model_value,VectorRanker_professional,VectorRanker_professional_value,VectorRanker_MMR_03_professional,VectorRanker_MMR_03_professional_value,VectorRanker_MMR_05_professional,VectorRanker_MMR_05_professional_value,VectorRanker_MMR_07_professional,VectorRanker_MMR_07_professional_value
Donald Tusk,,male,Catholic Church,Civic Platform,648724,33861.0,,33861.0,,33861.0,,33861.0,,7753.0,0.061443671584129333,7753.0,0.061443671584129333,7753.0,0.061443671584129333,7753.0,0.061443671584129333,9896.0,,9896.0,,9896.0,,9896.0,,6679.0,0.14421804249286652,6679.0,0.14421804249286652,6679.0,0.14421804249286652,6679.0,0.14421804249286652,28974.0,,28974.0,,28974.0,,28974.0,
Italo Balbo,,male,,National Fascist Party,351734,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,19802.0,0.084696926176548,19802.0,0.084696926176548,19802.0,0.084696926176548,19802.0,0.084696926176548,28974.0,,28974.0,,28974.0,,28974.0,
Narendra Modi,Gujarati people,male,Hinduism,Bharatiya Janata Party,444222,8524.0,0.10623812675476074,8524.0,0.10623812675476074,8524.0,0.10623812675476074,8524.0,0.10623812675476074,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,55580.0,-0.022976398468017578,55580.0,-0.022976398468017578,55580.0,-0.022976398468017578,55580.0,-0.022976398468017578,28974.0,,28974.0,,28974.0,,28974.0,
Indira Gandhi,,female,Hinduism,Indian National Congress,15179,10930.0,0.09179168939590454,10930.0,0.09179168939590454,10930.0,0.09179168939590454,10930.0,0.09179168939590454,1029.0,0.2243669629096985,1029.0,0.2243669629096985,1029.0,0.2243669629096985,1029.0,0.2243669629096985,9896.0,,9896.0,,9896.0,,9896.0,,39526.0,0.026473872363567352,39526.0,0.026473872363567352,39526.0,0.026473872363567352,39526.0,0.026473872363567352,28974.0,,28974.0,,28974.0,,28974.0,
Hector Berlioz,,male,atheism,,53424,33861.0,,33861.0,,33861.0,,33861.0,,15850.0,-0.021173937246203423,15850.0,-0.021173937246203423,15850.0,-0.021173937246203423,15850.0,-0.021173937246203423,6907.0,0.02335479110479355,6907.0,0.02335479110479355,6907.0,0.02335479110479355,6907.0,0.02335479110479355,40859.0,0.022744901478290558,40859.0,0.022744901478290558,40859.0,0.022744901478290558,40859.0,0.022744901478290558,20580.0,0.003205925226211548,20580.0,0.003205925226211548,20580.0,0.003205925226211548,20580.0,0.003205925226211548
Ban Ki-moon,,male,Confucianism,independent politician,2346975,14383.0,0.07242729514837265,14383.0,0.07242729514837265,14383.0,0.07242729514837265,14383.0,0.07242729514837265,7743.0,0.061616577208042145,7743.0,0.061616577208042145,7743.0,0.061616577208042145,7743.0,0.061616577208042145,9896.0,,9896.0,,9896.0,,9896.0,,35062.0,0.03901905193924904,35062.0,0.03901905193924904,35062.0,0.03901905193924904,35062.0,0.03901905193924904,28974.0,,28974.0,,28974.0,,28974.0,
Kofi Annan,,male,Protestantism,,16844,13160.0,0.07931071519851685,13160.0,0.07931071519851685,13160.0,0.07931071519851685,13160.0,0.07931071519851685,8344.0,0.05387478321790695,8344.0,0.05387478321790695,8344.0,0.05387478321790695,8344.0,0.05387478321790695,9896.0,,9896.0,,9896.0,,9896.0,,7485.0,0.13910794258117676,7485.0,0.13910794258117676,7485.0,0.13910794258117676,7485.0,0.13910794258117676,28974.0,,28974.0,,28974.0,,28974.0,
Leonard Cohen,,male,Judaism,,19965375,8523.0,0.10624004900455475,8523.0,0.10624004900455475,8523.0,0.10624004900455475,8523.0,0.10624004900455475,6587.0,0.07724875211715698,6587.0,0.07724875211715698,6587.0,0.07724875211715698,6587.0,0.07724875211715698,9527.0,-0.08378121256828308,9527.0,-0.08378121256828308,9527.0,-0.08378121256828308,9527.0,-0.08378121256828308,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
Osama bin Laden,,male,Sunni Islam,,22468,10388.0,0.09479912370443344,10388.0,0.09479912370443344,10388.0,0.09479912370443344,10388.0,0.09479912370443344,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,61677.0,-0.049213606864213943,61677.0,-0.049213606864213943,61677.0,-0.049213606864213943,61677.0,-0.049213606864213943,28974.0,,28974.0,,28974.0,,28974.0,
Friedrich Hayek,,male,agnosticism,,11646,10026.0,0.09688800573348999,10026.0,0.09688800573348999,10026.0,0.09688800573348999,10026.0,0.09688800573348999,21514.0,,21514.0,,21514.0,,21514.0,,4962.0,0.07160434126853943,4962.0,0.07160434126853943,4962.0,0.07160434126853943,4962.0,0.07160434126853943,31756.0,0.04841911792755127,31756.0,0.04841911792755127,31756.0,0.04841911792755127,31756.0,0.04841911792755127,4953.0,0.12319862842559814,4953.0,0.12319862842559814,4953.0,0.12319862842559814,4953.0,0.12319862842559814
Titus,,male,ancient Roman religion,,55251,9672.0,0.09898906946182251,9672.0,0.09898906946182251,9672.0,0.09898906946182251,9672.0,0.09898906946182251,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,71561.0,,71561.0,,71561.0,,71561.0,,25094.0,-0.041774481534957886,25094.0,-0.041774481534957886,25094.0,-0.041774481534957886,25094.0,-0.041774481534957886
Richard Wagner,,male,Lutheranism,,25452,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,8955.0,-0.0432867556810379,8955.0,-0.0432867556810379,8955.0,-0.0432867556810379,8955.0,-0.0432867556810379,67969.0,-0.0906914621591568,67969.0,-0.0906914621591568,67969.0,-0.0906914621591568,67969.0,-0.0906914621591568,28974.0,,28974.0,,28974.0,,28974.0,
Jacques Chirac,,male,Catholicism,Union for a Popular Movement,39764,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,8833.0,-0.03703063726425171,8833.0,-0.03703063726425171,8833.0,-0.03703063726425171,8833.0,-0.03703063726425171,36555.0,0.03475886210799217,36555.0,0.03475886210799217,36555.0,0.03475886210799217,36555.0,0.03475886210799217,28974.0,,28974.0,,28974.0,,28974.0,
Georges Pompidou,,male,Catholic Church,Union of Democrats for the Republic,251592,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,29845.0,0.05383053049445152,29845.0,0.05383053049445152,29845.0,0.05383053049445152,29845.0,0.05383053049445152,28974.0,,28974.0,,28974.0,,28974.0,
Helmut Kohl,,male,Catholic Church,Christian Democratic Union,41896,25856.0,0.009813860058784485,25856.0,0.009813860058784485,25856.0,0.009813860058784485,25856.0,0.009813860058784485,13116.0,0.004819314926862717,13116.0,0.004819314926862717,13116.0,0.004819314926862717,13116.0,0.004819314926862717,9896.0,,9896.0,,9896.0,,9896.0,,37304.0,0.03266635537147522,37304.0,0.03266635537147522,37304.0,0.03266635537147522,37304.0,0.03266635537147522,14038.0,0.05043720453977585,14038.0,0.05043720453977585,14038.0,0.05043720453977585,14038.0,0.05043720453977585
Richard von Weizsäcker,,male,Lutheranism,Christian Democratic Union,338909,10406.0,0.09468373656272888,10406.0,0.09468373656272888,10406.0,0.09468373656272888,10406.0,0.09468373656272888,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,62425.0,-0.0526106059551239,62425.0,-0.0526106059551239,62425.0,-0.0526106059551239,62425.0,-0.0526106059551239,28974.0,,28974.0,,28974.0,,28974.0,
Willi Stoph,,male,atheism,Communist Party of Germany,429865,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
"Wilhelm II, German Emperor",,male,Lutheranism,,50450,24723.0,0.016919158399105072,24723.0,0.016919158399105072,24723.0,0.016919158399105072,24723.0,0.016919158399105072,21514.0,,21514.0,,21514.0,,21514.0,,8043.0,-0.007976340129971504,8043.0,-0.007976340129971504,8043.0,-0.007976340129971504,8043.0,-0.007976340129971504,66974.0,-0.0817486047744751,66974.0,-0.0817486047744751,66974.0,-0.0817486047744751,66974.0,-0.0817486047744751,28974.0,,28974.0,,28974.0,,28974.0,
Tom DeLonge,,male,,Democratic Party,1413814,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,42257.0,0.01861625909805298,42257.0,0.01861625909805298,42257.0,0.01861625909805298,42257.0,0.01861625909805298,28974.0,,28974.0,,28974.0,,28974.0,
Mitt Romney,,male,The Church of Jesus Christ of Latter-day Saints,Republican Party,426208,19712.0,0.045120395720005035,19712.0,0.045120395720005035,19712.0,0.045120395720005035,19712.0,0.045120395720005035,18810.0,-0.05655522271990776,18810.0,-0.05655522271990776,18810.0,-0.05655522271990776,18810.0,-0.05655522271990776,3204.0,0.11717899888753891,3204.0,0.11717899888753891,3204.0,0.11717899888753891,3204.0,0.11717899888753891,42948.0,0.016714658588171005,42948.0,0.016714658588171005,42948.0,0.016714658588171005,42948.0,0.016714658588171005,23918.0,-0.02815946936607361,23918.0,-0.02815946936607361,23918.0,-0.02815946936607361,23918.0,-0.02815946936607361
Albrecht Dürer,Germans,male,Lutheranism,,2402,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,32569.0,0.04606436938047409,32569.0,0.04606436938047409,32569.0,0.04606436938047409,32569.0,0.04606436938047409,28974.0,,28974.0,,28974.0,,28974.0,
Hokusai,Japanese people,male,,,43357,33861.0,,33861.0,,33861.0,,33861.0,,15143.0,-0.01425008475780487,15143.0,-0.01425008475780487,15143.0,-0.01425008475780487,15143.0,-0.01425008475780487,9896.0,,9896.0,,9896.0,,9896.0,,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
Fra Angelico,Italians,male,Catholic Church,,11457,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,3844.0,0.0997399240732193,3844.0,0.0997399240732193,3844.0,0.0997399240732193,3844.0,0.0997399240732193,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
Matsuo Bashō,Japanese people,male,,,90625,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,6445.0,0.035637348890304565,6445.0,0.035637348890304565,6445.0,0.035637348890304565,6445.0,0.035637348890304565,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
Philippe Pétain,,male,Catholic Church,,66083,20713.0,0.04013584181666374,20713.0,0.04013584181666374,20713.0,0.04013584181666374,20713.0,0.04013584181666374,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,40808.0,0.022872380912303925,40808.0,0.022872380912303925,40808.0,0.022872380912303925,40808.0,0.022872380912303925,28974.0,,28974.0,,28974.0,,28974.0,
Mao Zedong,Han Chinese people,male,atheism,Chinese Communist Party,19527,2503.0,0.16352930665016174,2503.0,0.16352930665016174,2503.0,0.16352930665016174,2503.0,0.16352930665016174,19050.0,-0.059859395027160645,19050.0,-0.059859395027160645,19050.0,-0.059859395027160645,19050.0,-0.059859395027160645,7815.0,-0.001369912177324295,7815.0,-0.001369912177324295,7815.0,-0.001369912177324295,7815.0,-0.001369912177324295,49705.0,-0.0033209696412086487,49705.0,-0.0033209696412086487,49705.0,-0.0033209696412086487,49705.0,-0.0033209696412086487,28551.0,-0.12454090267419815,28551.0,-0.12454090267419815,28551.0,-0.12454090267419815,28551.0,-0.12454090267419815
Chuck Berry,African Americans,male,Baptists,,45964,33861.0,,33861.0,,33861.0,,33861.0,,12948.0,0.006519214250147343,12948.0,0.006519214250147343,12948.0,0.006519214250147343,12948.0,0.006519214250147343,9896.0,,9896.0,,9896.0,,9896.0,,35567.0,0.03762960433959961,35567.0,0.03762960433959961,35567.0,0.03762960433959961,35567.0,0.03762960433959961,28974.0,,28974.0,,28974.0,,28974.0,
Quintus Curtius Rufus,Romans,male,,,617834,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
Søren Kierkegaard,Danes,male,Lutheranism,,27069,7061.0,0.11616997420787811,7061.0,0.11616997420787811,7061.0,0.11616997420787811,7061.0,0.11616997420787811,16172.0,-0.024469299241900444,16172.0,-0.024469299241900444,16172.0,-0.024469299241900444,16172.0,-0.024469299241900444,5629.0,0.05514968931674957,5629.0,0.05514968931674957,5629.0,0.05514968931674957,5629.0,0.05514968931674957,31369.0,0.04952022433280945,31369.0,0.04952022433280945,31369.0,0.04952022433280945,31369.0,0.04952022433280945,28974.0,,28974.0,,28974.0,,28974.0,
Marie Curie,Poles,female,agnosticism,,20408,16985.0,0.059238336980342865,16985.0,0.059238336980342865,16985.0,0.059238336980342865,16985.0,0.059238336980342865,589.0,0.257382869720459,589.0,0.257382869720459,589.0,0.257382869720459,589.0,0.257382869720459,9896.0,,9896.0,,9896.0,,9896.0,,62456.0,-0.05273225158452988,62456.0,-0.05273225158452988,62456.0,-0.05273225158452988,62456.0,-0.05273225158452988,2808.0,0.15134063363075256,2808.0,0.15134063363075256,2808.0,0.15134063363075256,2808.0,0.15134063363075256
Simone de Beauvoir,,female,atheism,,62034,16830.0,0.06002262979745865,16830.0,0.06002262979745865,16830.0,0.06002262979745865,16830.0,0.06002262979745865,1776.0,0.18851593136787415,1776.0,0.18851593136787415,1776.0,0.18851593136787415,1776.0,0.18851593136787415,4982.0,0.07130984961986542,4982.0,0.07130984961986542,4982.0,0.07130984961986542,4982.0,0.07130984961986542,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
Sophocles,Greeks,male,,,26984,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,25614.0,0.06633123755455017,25614.0,0.06633123755455017,25614.0,0.06633123755455017,25614.0,0.06633123755455017,28974.0,,28974.0,,28974.0,,28974.0,
John Coltrane,African Americans,male,,,53536,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,4912.0,0.07281728088855743,4912.0,0.07281728088855743,4912.0,0.07281728088855743,4912.0,0.07281728088855743,44707.0,0.01142321527004242,44707.0,0.01142321527004242,44707.0,0.01142321527004242,44707.0,0.01142321527004242,17733.0,0.024536434561014175,17733.0,0.024536434561014175,17733.0,0.024536434561014175,17733.0,0.024536434561014175
Ögedei Khan,Mongols,male,Tengrism,,739857,24298.0,0.019493242725729942,24298.0,0.019493242725729942,24298.0,0.019493242725729942,24298.0,0.019493242725729942,21075.0,-0.11007308214902878,21075.0,-0.11007308214902878,21075.0,-0.11007308214902878,21075.0,-0.11007308214902878,9896.0,,9896.0,,9896.0,,9896.0,,62973.0,-0.05561092495918274,62973.0,-0.05561092495918274,62973.0,-0.05561092495918274,62973.0,-0.05561092495918274,28974.0,,28974.0,,28974.0,,28974.0,
Ingmar Bergman,Swedes,male,atheism,,14626,19105.0,0.048200566321611404,19105.0,0.048200566321611404,19105.0,0.048200566321611404,19105.0,0.048200566321611404,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,71561.0,,71561.0,,71561.0,,71561.0,,10369.0,0.07642705738544464,10369.0,0.07642705738544464,10369.0,0.07642705738544464,10369.0,0.07642705738544464
Ivan the Terrible,,male,Eastern Orthodoxy,,70718,13344.0,0.07832315564155579,13344.0,0.07832315564155579,13344.0,0.07832315564155579,13344.0,0.07832315564155579,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,54214.0,-0.0182613767683506,54214.0,-0.0182613767683506,54214.0,-0.0182613767683506,54214.0,-0.0182613767683506,28974.0,,28974.0,,28974.0,,28974.0,
Constantine the Great,,male,Christianity,,7236,22444.0,0.03079586662352085,22444.0,0.03079586662352085,22444.0,0.03079586662352085,22444.0,0.03079586662352085,20011.0,-0.07727504521608353,20011.0,-0.07727504521608353,20011.0,-0.07727504521608353,20011.0,-0.07727504521608353,9896.0,,9896.0,,9896.0,,9896.0,,47818.0,0.0022591669112443924,47818.0,0.0022591669112443924,47818.0,0.0022591669112443924,47818.0,0.0022591669112443924,28974.0,,28974.0,,28974.0,,28974.0,
Peter the Great,Russians,male,Eastern Orthodoxy,,44356,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,42345.0,0.018363453447818756,42345.0,0.018363453447818756,42345.0,0.018363453447818756,42345.0,0.018363453447818756,28974.0,,28974.0,,28974.0,,28974.0,
Archimedes,Greeks,male,,,1844,12721.0,0.08183944970369339,12721.0,0.08183944970369339,12721.0,0.08183944970369339,12721.0,0.08183944970369339,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,66823.0,-0.0804101750254631,66823.0,-0.0804101750254631,66823.0,-0.0804101750254631,66823.0,-0.0804101750254631,28974.0,,28974.0,,28974.0,,28974.0,
Augustin-Louis Cauchy,,male,Catholic Church,,1842,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,374.0,0.27437132596969604,374.0,0.27437132596969604,374.0,0.27437132596969604,374.0,0.27437132596969604,33006.0,0.04482641816139221,33006.0,0.04482641816139221,33006.0,0.04482641816139221,33006.0,0.04482641816139221,28974.0,,28974.0,,28974.0,,28974.0,
Parmigianino,Italians,male,,,2213412,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
Sima Qian,Han Chinese people,male,,,27636,6901.0,0.11739388108253479,6901.0,0.11739388108253479,6901.0,0.11739388108253479,6901.0,0.11739388108253479,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,58636.0,-0.034947000443935394,58636.0,-0.034947000443935394,58636.0,-0.034947000443935394,58636.0,-0.034947000443935394,28974.0,,28974.0,,28974.0,,28974.0,
Muhammad,Arabs,male,Hanif,,18934,1453.0,0.18569713830947876,1453.0,0.18569713830947876,1453.0,0.18569713830947876,1453.0,0.18569713830947876,16603.0,-0.029378388077020645,16603.0,-0.029378388077020645,16603.0,-0.029378388077020645,16603.0,-0.029378388077020645,9896.0,,9896.0,,9896.0,,9896.0,,49989.0,-0.004147052764892578,49989.0,-0.004147052764892578,49989.0,-0.004147052764892578,49989.0,-0.004147052764892578,28974.0,,28974.0,,28974.0,,28974.0,
Salman Khan,Pashtuns,male,Islam,,302167,11527.0,0.08839243650436401,11527.0,0.08839243650436401,11527.0,0.08839243650436401,11527.0,0.08839243650436401,19405.0,-0.06584326922893524,19405.0,-0.06584326922893524,19405.0,-0.06584326922893524,19405.0,-0.06584326922893524,9896.0,,9896.0,,9896.0,,9896.0,,16502.0,0.0962957888841629,16502.0,0.0962957888841629,16502.0,0.0962957888841629,16502.0,0.0962957888841629,28974.0,,28974.0,,28974.0,,28974.0,
Martin Luther,Germans,male,Catholicism,,7567080,26805.0,0.0034021595492959023,26805.0,0.0034021595492959023,26805.0,0.0034021595492959023,26805.0,0.0034021595492959023,14477.0,-0.008481794968247414,14477.0,-0.008481794968247414,14477.0,-0.008481794968247414,14477.0,-0.008481794968247414,9896.0,,9896.0,,9896.0,,9896.0,,64603.0,-0.06498680263757706,64603.0,-0.06498680263757706,64603.0,-0.06498680263757706,64603.0,-0.06498680263757706,28974.0,,28974.0,,28974.0,,28974.0,
Harivansh Rai Bachchan,,male,Hinduism,,3217927,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
Richard Nixon,,male,Quakers,Republican Party,25473,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,8852.0,-0.03770165890455246,8852.0,-0.03770165890455246,8852.0,-0.03770165890455246,8852.0,-0.03770165890455246,60520.0,-0.04340256750583649,60520.0,-0.04340256750583649,60520.0,-0.04340256750583649,60520.0,-0.04340256750583649,28974.0,,28974.0,,28974.0,,28974.0,
